hotel_names,prices,total_reviews,url,ratings
SponsoredWellington Hotel,$244,"8,450 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99307-Reviews-Wellington_Hotel-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
Crowne Plaza Times Square Manhattan,"$281
$215","11,953 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93454-Reviews-Crowne_Plaza_Times_Square_Manhattan-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
The New Yorker a Wyndham Hotel,"$213
$182","14,946 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d122005-Reviews-The_New_Yorker_a_Wyndham_Hotel-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Park Terrace Hotel on Bryant Park,$325,"1,059 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d15135187-Reviews-Park_Terrace_Hotel_on_Bryant_Park-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Park Lane Hotel,$297,"9,414 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93579-Reviews-Park_Lane_Hotel-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Hotel Pennsylvania,"$196
$127","2,082 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d214197-Reviews-Hotel_Pennsylvania-New_York_City_New_York.html#REVIEWS,3 of 5 bubbles
SponsoredGrand Hyatt New York,"$351
$299","11,798 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93450-Reviews-Grand_Hyatt_New_York-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
YOTEL New York,$229,"13,706 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d2079052-Reviews-YOTEL_New_York-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",$329,"3,669 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d5040757-Reviews-Homewood_Suites_by_Hilton_New_York_Midtown_Manhattan_Times_Square_South_NY-New_York_Cit.html#REVIEWS,4.5 of 5 bubbles
Arlo SoHo,"$324
$149","2,002 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d7891458-Reviews-Arlo_SoHo-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
Stewart Hotel,$233,"7,791 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93562-Reviews-Stewart_Hotel-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Hotel Edison,$189,"13,304 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d93437-Reviews-Hotel_Edison-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
SponsoredThe Hotel @ New York City,$179,"1,839 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99388-Reviews-The_Hotel_New_York_City-New_York_City_New_York.html#REVIEWS,4 of 5 bubbles
Hyatt Centric Times Square New York,$329,"5,838 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d4799063-Reviews-Hyatt_Centric_Times_Square_New_York-New_York_City_New_York.html#REVIEWS,4.5 of 5 bubbles
The Roosevelt Hotel,$239,"12,078 reviews",https://www.tripadvisor.com//Hotel_Review-g60763-d99766-Reviews-The_Roosevelt_Hotel-New_York_City_New_York.html#REVIEWS,3.5 of 5 bubbles
